Gene ID	source_id	Genomic Location (Gene)	Product Description	Selected Samples that match	Sum of Unique Peptides (Within Samples)	Unique Peptides (Across Samples)	
cgd5_1640	cgd5_1640-RA	CM000433:355,319..356,248(-)	MORN repeat containing protein	1	6	6	
cgd5_1650	cgd5_1650-RA	CM000433:356,822..357,379(+)	DJ-1/PfpI	1	6	6	
cgd5_1710	cgd5_1710-RA	CM000433:368,256..370,268(+)	CTP synthase	1	4	4	
cgd5_180	cgd5_180-RA	CM000433:55,321..55,944(+)	Rdx type Selenoprotein	1	3	3	
cgd5_1820	cgd5_1820-RA	CM000433:386,493..387,317(-)	Proteasome alpha-subunit	1	2	2	
cgd5_1880	cgd5_1880-RA	CM000433:396,939..398,591(-)	T-complex protein 1 subunit delta	1	2	2	
cgd5_1960	cgd5_1960-RA	CM000433:414,502..415,851(-)	Enolase	1	15	15	
cgd5_20	cgd5_20-RA	CM000433:6,771..9,053(-)	Uncharacterized Secreted Protein	1	1	1	
cgd5_2070	cgd5_2070-RA	CM000433:436,753..443,124(-)	SPAC694.02. SKI family SFII helicase	1	1	1	
cgd5_2190	cgd5_2190-RA	CM000433:472,607..474,228(+)	DNA/RNA non-specific endonuclease	1	1	1	
cgd5_2210	cgd5_2210-RA	CM000433:477,669..478,440(+)	40S ribosomal protein S13	1	6	6	
cgd5_2230	cgd5_2230-RA	CM000433:479,628..480,832(+)	Transmembrane Thioredoxin domain containting protein	1	1	1	
cgd5_2300	cgd5_2300-RA	CM000433:493,950..494,712(+)	DAD/Ost2	1	1	1	
cgd5_2330	cgd5_2330-RA	CM000433:501,946..503,133(-)	Actin	1	3	3	
cgd5_2500	cgd5_2500-RA	CM000433:542,141..547,000(-)	Peptidase C19, ubiquitin carboxyl-terminal hydrolase	1	1	1	
cgd5_2550	cgd5_2550-RA	CM000433:557,459..559,667(+)	Ubiquitin	1	1	1	
cgd5_2780	cgd5_2780-RA	CM000433:614,659..615,045(+)	Plectin/S10 domain containing protein	1	3	3	
cgd5_2800	cgd5_2800-RA	CM000433:618,234..618,641(-)	Actin depolymerizing factor	1	4	4	
cgd5_3040	cgd5_3040-RA	CM000433:685,126..685,820(-)	40S ribosomal protein S7	1	10	10	
cgd5_3073	cgd5_3073-RA	CM000433:689,328..692,051(+)	Carboxylic ester hydrolase	1	2	2	
cgd5_3160	cgd5_3160-RA	CM000433:735,608..736,889(-)	Actin	1	19	19	
cgd5_3170	cgd5_3170-RA	CM000433:738,180..738,638(+)	Histone H2B	1	1	1	
cgd5_320	cgd5_320-RA	CM000433:85,022..86,443(-)	Phospholipase/carboxylesterase/thioesterase	1	1	1	
cgd5_3200	cgd5_3200-RA	CM000433:742,647..745,092(+)	AMP-dependent synthetase/ligase	1	2	2	
cgd5_3210	cgd5_3210-RA	CM000433:745,520..749,296(+)	Uncharacterized protein	1	1	1	
cgd5_3220	cgd5_3220-RA	CM000433:750,126..751,058(+)	Proteasome subunit beta7 NTN hydrolase fold containing protein	1	3	3	
cgd5_3230	cgd5_3230-RA	CM000433:751,512..752,177(-)	Manganese/iron superoxide dismutase	1	4	4	
cgd5_3340	cgd5_3340-RA	CM000433:771,153..772,534(-)	vacuolar ATP synthase subunit d	1	4	4	
cgd5_3360	cgd5_3360-RA	CM000433:774,215..774,880(-)	 Adenylate kinase	1	2	2	
cgd5_3420	cgd5_3420-RA	CM000433:797,242..808,851(+)	TSP1/LNR (Lin-12/Notch) repeat containing protein	1	1	1	
cgd5_3460	cgd5_3460-RA	CM000433:812,480..814,676(+)	5'-Nucleotidase/apyrase	1	1	1	
cgd5_3650	cgd5_3650-RA	CM000433:851,951..853,296(-)	PH domain-like protein	1	4	4	
cgd5_3720	cgd5_3720-RA	CM000433:862,479..862,874(+)	30S ribosomal protein S17e [rps17e].	1	4	4	
cgd5_3740	cgd5_3740-RA	CM000433:864,803..865,234(-)	50S ribosomal protein L7e/L30e/S12e/Gadd45	1	1	1	
cgd5_3850	cgd5_3850-RA	CM000433:884,674..887,574(+)	Adapter-protein complex 1 gamma subunit	1	2	2	
cgd5_390	cgd5_390-RA	CM000433:99,061..103,207(-)	Winged helix-turn-helix DNA-binding domain containing protein	1	5	5	
cgd5_3920	cgd5_3920-RA	CM000433:899,648..900,743(+)	Calmodulin-like protein	1	4	4	
cgd5_3980	cgd5_3980-RA	CM000433:911,694..913,430(-)	Uncharacterized protein	1	1	1	
cgd5_4110	cgd5_4110-RA	CM000433:941,598..943,007(-)	EF-hand domain containing protein	1	3	3	
cgd5_4180	cgd5_4180-RA	CM000433:957,763..959,019(+)	Sec1-like protein	1	1	1	
cgd5_4210	cgd5_4210-RA	CM000433:963,041..964,155(+)	Proteasome subunit beta type	1	3	3	
cgd5_4370	cgd5_4370-RA	CM000433:1,002,504..1,005,063(+)	Peptidase S9 prolyl oligopeptidase	1	4	4	
cgd5_440	cgd5_440-RA	CM000433:115,516..116,067(-)	Adenylate cyclase-associated CAP	1	4	4	
cgd5_4400	cgd5_4400-RA	CM000433:1,009,992..1,012,038(+)	Arginine-tRNA ligase	1	2	2	
cgd5_4540	cgd5_4540-RA	CM000433:1,052,933..1,053,964(-)	Aspartate--ammonia ligase	1	1	1	
cgd5_4560	cgd5_4560-RA	CM000433:1,058,710..1,060,041(+)	Tryptophan synthase beta chain	1	3	3	
cgd5_480	cgd5_480-RA	CM000433:121,183..121,905(+)	26S proteasome complex ubiquitin receptor subunit Rpn13	1	1	1	
cgd5_610	cgd5_610-RA	CM000433:147,932..152,003(-)	Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase	1	1	1	
cgd5_670	cgd5_670-RA	CM000433:159,815..161,254(-)	RuvB-like helicase	1	2	2	
cgd5_70	cgd5_70-RA	CM000433:20,614..24,230(-)	Phosphoenolpyruvate carboxylase	1	6	6	
cgd5_750	cgd5_750-RA	CM000433:185,236..187,080(+)	Malic oxidoreductase	1	2	2	
cgd5_820	cgd5_820-RA	CM000433:207,068..209,212(+)	Serine/threonine-protein kinase with EF hand	1	1	1	
cgd5_940	cgd5_940-RA	CM000433:229,927..230,385(-)	Histone H2A	1	2	2	
cgd5_970	cgd5_970-RA	CM000433:233,326..233,940(-)	60S ribosomal protein L13A	1	7	7	
cgd6_1030	cgd6_1030-RA	CM000434:256,848..259,177(-)	Uncharacterized protein	1	1	1	
cgd6_1070	cgd6_1070-RA	CM000434:265,323..266,012(+)	Uncharacterized protein	1	1	1	
cgd6_1080	cgd6_1080-RA	CM000434:266,434..267,560(-)	Glycoprotein GP40	1	9	9	
cgd6_110	cgd6_110-RA	CM000434:30,271..31,140(-)	Malectin	1	2	2	
cgd6_1170	cgd6_1170-RA	CM000434:287,586..288,837(-)	Uncharacterized protein	1	1	1	
cgd6_120	cgd6_120-RA	CM000434:31,940..33,385(+)	Disulfide-isomerase, signal peptide plus ER retention motif	1	18	18	
cgd6_1270	cgd6_1270-RA	CM000434:308,627..310,399(-)	Phospholipid/glycerol acyltransferase	1	1	1	
cgd6_1390	cgd6_1390-RA	CM000434:332,402..333,090(-)	Ribosomal protein S23	1	3	3	
cgd6_1430	cgd6_1430-RA	CM000434:339,946..342,270(+)	Transcription factor E2F/DP	1	4	4	
cgd6_1500	cgd6_1500-RA	CM000434:355,682..356,675(-)	Cytochrome Oxidase subunit III	1	1	1	
cgd6_1630	cgd6_1630-RA	CM000434:381,666..382,499(+)	CS domain containing protein	1	6	6	
cgd6_1980	cgd6_1980-RA	CM000434:461,486..462,106(+)	Uncharacterized protein	1	1	1	
cgd6_2090	cgd6_2090-RA	CM000434:494,191..499,080(-)	Growth factor receptor cysteine-rich domain containing protein	1	90	90	
cgd6_2170	cgd6_2170-RA	CM000434:517,625..518,143(-)	60S ribosomal protein L5	1	6	6	
cgd6_2210	cgd6_2210-RA	CM000434:524,705..525,568(-)	Uncharacterized transmembrane Protein	1	2	2	
cgd6_2220	cgd6_2220-RA	CM000434:526,562..527,593(+)	Uncharacterized transmembrane Protein	1	1	1	
cgd6_2260	cgd6_2260-RA	CM000434:535,868..538,180(+)	Hca4p helicase DBP4 (Helicase CA4). EIF4A-1-family RNA SFII helicase	1	1	1	
cgd6_2330	cgd6_2330-RA	CM000434:556,628..557,536(-)	Uncharacterized protein	1	12	12	
cgd6_2430	cgd6_2430-RA	CM000434:570,642..571,202(-)	Nascent polypeptide-associated complex subunit beta	1	1	1	
cgd6_2450	cgd6_2450-RA	CM000434:572,584..575,289(-)	Glycogen/starch/alpha-glucan phosphorylase	1	15	15	
cgd6_2460	cgd6_2460-RA	CM000434:575,712..576,191(+)	60s ribosomal protein L21	1	7	7	
cgd6_2470	cgd6_2470-RA	CM000434:576,391..578,358(-)	Sulfhydryl oxidase	1	1	1	
cgd6_2620	cgd6_2620-RA	CM000434:609,137..609,928(+)	 Vesicle-associated membrane protein with MSP (Major sperm protein) domain	1	6	6	
cgd6_2690	cgd6_2690-RA	CM000434:627,932..628,909(-)	FKBP-like Peptidylprolyl isomerase	1	1	1	
cgd6_2840	cgd6_2840-RA	CM000434:657,996..659,662(+)	Sucrose-phosphatase-like protein /HAD superfamily hydrolase	1	1	1	
cgd6_2970	cgd6_2970-RA	CM000434:686,019..687,779(-)	Tyrosyl-tRNA synthetase (Tyrosyl-tRNA ligase TyrRS). class-I aaRS	1	2	2	
cgd6_3010	cgd6_3010-RA	CM000434:691,946..694,431(+)	Polyadenylate-binding protein	1	2	2	
cgd6_3050	cgd6_3050-RA	CM000434:703,182..707,242(+)	Uncharacterized protein	1	10	10	
cgd6_3080	cgd6_3080-RA	CM000434:711,363..713,315(+)	Uncharacterized protein	1	5	5	
cgd6_3180	cgd6_3180-RA	CM000434:743,258..743,726(+)	40S ribosomal protein S15	1	3	3	
cgd6_3190	cgd6_3190-RA	CM000434:744,980..747,310(+)	60S ribosomal protein L4/L1e	1	4	4	
cgd6_3220	cgd6_3220-RA	CM000434:751,604..753,452(-)	RAS small GTPase Rab1 family	1	4	4	
cgd6_3340	cgd6_3340-RA	CM000434:780,411..781,093(-)	60S ribosomal protein L32	1	2	2	
cgd6_3470	cgd6_3470-RA	CM000434:812,429..813,160(-)	Uncharacterized protein	1	1	1	
cgd6_3510	cgd6_3510-RA	CM000434:818,446..819,045(+)	Uncharacterized protein	1	5	5	
cgd6_3590	cgd6_3590-RA	CM000434:836,852..838,274(-)	26S proteasome regulatory subunit Rpn6-like PINT domain containing protein	1	2	2	
cgd6_3630	cgd6_3630-RA	CM000434:845,474..847,486(-)	Ankyrin repeat-containing protein	1	3	3	
cgd6_3640	cgd6_3640-RA	CM000434:848,645..850,372(+)	Disulfide-isomerase, signal peptide plus ER retention motif	1	1	1	
cgd6_3720	cgd6_3720-RA	CM000434:867,366..868,318(-)	 Pyrroline-5-carboxylate reductase	1	1	1	
cgd6_3790	cgd6_3790-RA	CM000434:886,254..887,989(+)	Glyceraldehyde-3-phosphate dehydrogenase	1	20	20	
cgd6_3830	cgd6_3830-RA	CM000434:893,193..894,095(+)	Small GTPase	1	1	1	
cgd6_3920	cgd6_3920-RA	CM000434:909,818..912,463(-)	Uncharacterized protein with Tetratricopeptide-like helical	1	2	2	
cgd6_3970	cgd6_3970-RA	CM000434:925,762..926,421(-)	Glutaredoxin-like protein 2 thioredoxin folds	1	1	1	
cgd6_3990	cgd6_3990-RA	CM000434:927,808..929,115(-)	Elongation factor 1-alpha	1	22	22	
cgd6_4070	cgd6_4070-RA	CM000434:948,755..951,017(+)	EEIG1/EHBP1 N-terminal domain containing protein	1	1	1	
cgd6_4110	cgd6_4110-RA	CM000434:956,063..961,367(+)	Uncharacterized protein with Armadillo-like helical	1	1	1	
cgd6_4160	cgd6_4160-RA	CM000434:973,878..974,966(+)	EF-hands domain containing protein	1	5	5	
cgd6_4190	cgd6_4190-RA	CM000434:979,594..980,262(+)	60S ribosomal protein L10/L16, alpha/beta hammerhead	1	2	2	
cgd6_420	cgd6_420-RA	CM000434:97,384..98,517(-)	Uncharacterized protein	1	2	2	
cgd6_4320	cgd6_4320-RA	CM000434:1,022,484..1,023,455(-)	 40S ribosomal protein S5	1	10	10	
cgd6_4330	cgd6_4330-RA	CM000434:1,023,742..1,024,695(-)	Histidine phosphatase superfamily	1	1	1	
cgd6_4390	cgd6_4390-RA	CM000434:1,037,387..1,039,120(-)	Uncharacterized protein	1	1	1	
cgd6_4400	cgd6_4400-RA	CM000434:1,039,879..1,042,038(+)	Proline-tRNA synthetase class II	1	3	3	
cgd6_4460	cgd6_4460-RA	CM000434:1,053,014..1,060,690(-)	Uncharacterized protein with Armadillo-like helical	1	51	51	
cgd6_4570	cgd6_4570-RA	CM000434:1,091,957..1,093,402(+)	Glutamine synthetase type I	1	4	4	
cgd6_4630	cgd6_4630-RA	CM000434:1,100,123..1,100,749(+)	40S ribosomal protein S8	1	7	7	
cgd6_4760	cgd6_4760-RA	CM000434:1,134,602..1,136,024(+)	Tubulin beta chain	1	10	10	
cgd6_4840	cgd6_4840-RA	CM000434:1,150,541..1,154,654(-)	Serine protease, subtilase family, signal peptide	1	2	2	
cgd6_4850	cgd6_4850-RA	CM000434:1,155,401..1,157,131(+)	Pre-mRNA-splicing factor 19 with U box domain	1	1	1	
cgd6_4950	cgd6_4950-RA	CM000434:1,177,490..1,178,278(-)	Uncharacterized protein	1	10	10	
cgd6_5070	cgd6_5070-RA	CM000434:1,197,010..1,198,473(-)	Ribophorin I	1	3	3	
cgd6_5080	cgd6_5080-RA	CM000434:1,198,821..1,200,431(-)	Chaperonin Cpn60/TCP-1 protein	1	6	6	
cgd6_5140	cgd6_5140-RA	CM000434:1,216,456..1,217,865(+)	Concanavalin A-like lectin/glucanase domain containing protein	1	6	6	
cgd6_5270	cgd6_5270-RA	CM000434:1,248,735..1,249,217(+)	Uncharacterized protein	1	2	2	
cgd6_5280	cgd6_5280-RA	CM000434:1,249,613..1,252,957(+)	Uncharacterized protein	1	3	3	
cgd6_5320	cgd6_5320-RA	CM000434:1,260,608..1,263,418(-)	AP2/ERF domain containing protein	1	1	1	
cgd6_5350	cgd6_5350-RA	CM000434:1,270,171..1,272,519(-)	ABC transporter protein	1	3	3	
cgd6_5440	cgd6_5440-RA	CM000434:1,294,457..1,298,290(+)	Uncharacterized protein	1	26	26	
cgd6_5450	cgd6_5450-RA	CM000434:1,298,956..1,304,527(+)	ABC transporter	1	4	4	
cgd6_5500	cgd6_5500-RA	CM000434:1,321,420..1,322,304(-)	Uncharacterized protein	1	3	3	
cgd6_570	cgd6_570-RA	CM000434:134,982..135,422(-)	60S ribosomal protein L23	1	4	4	
cgd6_690	cgd6_690-RA	CM000434:171,467..172,525(-)	Ribonucleotide reductase small subunit	1	1	1	
cgd6_700	cgd6_700-RA	CM000434:173,420..174,439(+)	Ribonucleotide reductase small subunit	1	1	1	
cgd6_710	cgd6_710-RA	CM000434:175,179..176,549(-)	Uncharacterized Secreted Protein	1	7	7	
cgd6_760	cgd6_760-RA	CM000434:192,331..195,303(-)	Peptidase S54 rhomboid	1	1	1	
cgd6_820	cgd6_820-RA	CM000434:205,335..206,249(+)	Uncharacterized Secreted Protein	1	10	10	
cgd6_880	cgd6_880-RA	CM000434:225,101..231,192(+)	Gdb1p glycogen debranching enzyme	1	7	7	
cgd6_920	cgd6_920-RA	CM000434:236,095..237,697(+)	26s protease regulatory subunit P45	1	2	2	
cgd6_950	cgd6_950-RA	CM000434:242,237..243,559(+)	CRAL-TRIO lipid biding/Sec14d domain containing protein	1	7	7	
cgd6_960	cgd6_960-RA	CM000434:244,163..246,363(-)	Cysteinyl-tRNA synthetase	1	2	2	
cgd6_980	cgd6_980-RA	CM000434:248,189..249,592(-)	SET domain containing protein	1	1	1	
cgd7_1010	cgd7_1010-RA	CM000435:244,613..262,199(-)	 EF-hand calcium-binding domain-containing potein	1	2	2	
cgd7_1060	cgd7_1060-RA	CM000435:267,710..268,753(-)	Uncharacterized protein	1	1	1	
cgd7_1080	cgd7_1080-RA	CM000435:270,576..271,625(-)	elf3f/JAB1/Mov34/MPN/PAD-1 ubiquitin protease	1	1	1	
cgd7_120	cgd7_120-RA	CM000435:38,545..39,723(-)	cAMP-dependent protein kinase regulatory subunit	1	3	3	
cgd7_1270	cgd7_1270-RA	CM000435:319,347..332,389(-)	Uncharacterized protein	1	10	10	
cgd7_130	cgd7_130-RA	CM000435:40,572..42,088(-)	Ribosomal protein S11	1	4	4	
cgd7_1310	cgd7_1310-RA	CM000435:342,055..344,402(+)	Glycosyltransferase 2-like protein	1	3	3	
cgd7_1340	cgd7_1340-RA	CM000435:349,164..353,042(-)	Uncharacterized protein	1	23	23	
cgd7_1400	cgd7_1400-RA	CM000435:363,648..365,840(-)	Signal peptide containing protein	1	2	2	
cgd7_1490	cgd7_1490-RA	CM000435:378,391..380,172(+)	Tryptophanyl-tRNA synthetase	1	5	5	
cgd7_1540	cgd7_1540-RA	CM000435:390,384..392,784(+)	Aspartate--tRNA ligase	1	1	1	
cgd7_1610	cgd7_1610-RA	CM000435:408,732..412,198(-)	Nucleoporin interacting component Nup93/Nic96	1	1	1	
cgd7_1660	cgd7_1660-RA	CM000435:420,330..421,404(+)	Uncharacterized protein	1	2	2	
cgd7_1680	cgd7_1680-RA	CM000435:426,170..427,124(+)	Rab7 GTPase	1	5	5	
cgd7_1700	cgd7_1700-RA	CM000435:429,622..430,498(-)	Histone H2B	1	2	2	
cgd7_1710	cgd7_1710-RA	CM000435:431,391..433,682(+)	Threonyl-tRNA synthetase	1	4	4	
cgd7_1730	cgd7_1730-RA	CM000435:434,856..441,028(-)	CpCCp1/Cpa135	1	20	20	
cgd7_1800	cgd7_1800-RA	CM000435:457,154..461,290(-)	Chitin-binding type-2 domain containing protein	1	9	9	
cgd7_1810	cgd7_1810-RA	CM000435:461,559..463,601(+)	Chitobiosyldiphosphodolichol beta-mannosyltransferase ALG1-like	1	1	1	
cgd7_1830	cgd7_1830-RA	CM000435:464,864..466,828(+)	UTP--glucose-1-phosphate uridylyltransferase	1	6	6	
cgd7_1840	cgd7_1840-RA	CM000435:467,041..469,219(+)	Serine/threonine-protein kinase	1	1	1	
cgd7_1890	cgd7_1890-RA	CM000435:475,102..477,558(-)	KH1 domain containing protein	1	1	1	
cgd7_1900	cgd7_1900-RA	CM000435:478,353..480,059(+)	Mitochondrial NADH dehydrogenase	1	4	4	
cgd7_1910	cgd7_1910-RA	CM000435:480,221..483,031(-)	Coatomer gamma subunit/ adaptor appendage/Ig-like subdomain containng protein	1	2	2	
cgd7_1970	cgd7_1970-RA	CM000435:493,647..495,122(-)	NPL4 Nuclear pore localisation protein Npl4 /Ubiquitin-like domain containing protein	1	1	1	
cgd7_2013	cgd7_2013-RA	CM000435:503,165..503,760(-)	Uncharacterized protein	1	2	2	
cgd7_2090	cgd7_2090-RA	CM000435:513,781..515,154(+)	RuvB-like helicase	1	1	1	
cgd7_2110	cgd7_2110-RA	CM000435:522,699..523,714(+)	60S ribosomal proteins L8/L2	1	6	6	
cgd7_220	cgd7_220-RA	CM000435:53,704..54,342(-)	GTP-binding nuclear protein	1	8	8	
cgd7_2250	cgd7_2250-RA	CM000435:545,687..546,592(+)	40S ribosomal protein S3 KH2	1	9	9	
cgd7_2260	cgd7_2260-RA	CM000435:546,710..547,708(+)	Uncharacterized protein	1	1	1	
cgd7_2270	cgd7_2270-RA	CM000435:547,836..548,954(-)	Uncharacterized protein	1	1	1	
cgd7_2280	cgd7_2280-RA	CM000435:549,624..550,022(-)	Ribosomal protein L40e	1	1	1	
cgd7_2300	cgd7_2300-RA	CM000435:551,759..552,259(+)	Translation elongation factor IF5A	1	4	4	
cgd7_2330	cgd7_2330-RA	CM000435:555,687..556,526(-)	ARF/SAR type small GTPase superfamily	1	7	7	
cgd7_2420	cgd7_2420-RA	CM000435:573,460..573,807(-)	60S ribosomal protein L22	1	2	2	
cgd7_2540	cgd7_2540-RA	CM000435:599,728..600,090(+)	60S ribosomal protein L35A	1	2	2	
cgd7_2620	cgd7_2620-RA	CM000435:616,921..620,712(-)	ClpB Atpase/signal peptide containing protein	1	5	5	
cgd7_2670	cgd7_2670-RA	CM000435:627,987..628,949(-)	Serine/threonine-protein phosphatase	1	2	2	
cgd7_2900	cgd7_2900-RA	CM000435:688,087..689,028(+)	26S Proteasome non-ATPase regulatory subunit 7/8	1	1	1	
cgd7_2940	cgd7_2940-RA	CM000435:694,862..696,469(-)	Coatomer subunit delta	1	1	1	
cgd7_300	cgd7_300-RA	CM000435:69,239..74,263(+)	CpCCP2 extracellular protein with a signal peptide, ricin, discoidin, NEC, LCCL, 2 levanase and an apicomplexan-specific cysteine-rich repeat (ApicA repeat)	1	43	43	
cgd7_3030	cgd7_3030-RA	CM000435:707,825..710,473(-)	Importin/karyopherin	1	2	2	
cgd7_3070	cgd7_3070-RA	CM000435:722,698..723,477(+)	Uncharacterized protein	1	8	8	
cgd7_3120	cgd7_3120-RA	CM000435:731,533..733,293(-)	Thiamine pyrophosphate enzyme	1	21	21	
cgd7_3180	cgd7_3180-RA	CM000435:740,276..741,946(+)	Chaperonin Cpn60/TCP-1	1	1	1	
cgd7_320	cgd7_320-RA	CM000435:76,084..77,480(-)	50S-L18Ae/60S-L20/60S-L18A ribosomal proteins	1	6	6	
cgd7_3210	cgd7_3210-RA	CM000435:746,263..747,219(+)	Uncharacterized protein	1	3	3	
cgd7_3270	cgd7_3270-RA	CM000435:751,866..755,249(-)	Importin/karyopherin (Arm repeats)	1	7	7	
cgd7_360	cgd7_360-RA	CM000435:85,466..88,324(+)	Heat shock protein 70	1	17	17	
cgd7_3660	cgd7_3660-RA	CM000435:821,536..822,387(+)	Proteasome subunit alpha	1	6	6	
cgd7_3670	cgd7_3670-RA	CM000435:822,605..824,968(+)	Heat shock protein Hsp90	1	13	13	
cgd7_3790	cgd7_3790-RA	CM000435:846,632..849,082(-)	Myosin motor domain containing protein	1	16	16	
cgd7_3800	cgd7_3800-RA	CM000435:849,399..858,104(-)	Uncharacterized Secreted Protein (CpLSP gene family)	1	1	1	
cgd7_3860	cgd7_3860-RA	CM000435:873,954..877,733(-)	Uncharacterized protein	1	1	1	
cgd7_3870	cgd7_3870-RA	CM000435:877,990..882,987(+)	Uncharacterized Secreted Protein (CpLSP gene family)	1	1	1	
cgd7_3880	cgd7_3880-RA	CM000435:883,858..885,741(-)	DnaJ/Sec63 domain containing protein	1	3	3	
cgd7_400	cgd7_400-RA	CM000435:94,398..96,081(+)	Uncharacterized protein	1	8	8	
cgd7_4020	cgd7_4020-RA	CM000435:906,581..912,394(-)	Cryptopsoridial mucin	1	39	39	
cgd7_4080	cgd7_4080-RA	CM000435:920,207..921,562(+)	 Thioredoxin	1	5	5	
cgd7_4160	cgd7_4160-RA	CM000435:936,766..938,679(-)	Glycosyltransferase 2-like	1	3	3	
cgd7_4190	cgd7_4190-RA	CM000435:941,477..944,866(-)	Cation-transporting P-type Atpase	1	5	5	
cgd7_4210	cgd7_4210-RA	CM000435:946,136..946,520(+)	Protein translocase complex, SecE/Sec61-gamma subunit	1	1	1	
cgd7_4220	cgd7_4220-RA	CM000435:947,389..948,987(+)	TCP-1/cpn60 chaperonin	1	2	2	
cgd7_4270	cgd7_4270-RA	CM000435:956,684..957,433(+)	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [gpmA].	1	11	11	
cgd7_4280	cgd7_4280-RA	CM000435:957,897..961,238(-)	Uncharacterized Protein	1	20	20	
cgd7_4300	cgd7_4300-RA	CM000435:963,855..964,993(+)	Zinc finger C2H2 type domain containing protein	1	3	3	
cgd7_4330	cgd7_4330-RA	CM000435:972,197..973,981(+)	Glycoprotein, putative	1	3	3	
cgd7_4380	cgd7_4380-RA	CM000435:993,572..994,357(-)	Small GTP-binding protein domain containing protein	1	2	2	
cgd7_4400	cgd7_4400-RA	CM000435:996,332..997,723(+)	Coronin	1	1	1	
cgd7_4450	cgd7_4450-RA	CM000435:1,003,446..1,004,594(-)	Elongation factor EF1-gamma (Glutathione S-transferase family)	1	8	8	
cgd7_4460	cgd7_4460-RA	CM000435:1,005,280..1,005,834(+)	60S ribosomal protein L6	1	7	7	
cgd7_4500	cgd7_4500-RA	CM000435:1,016,373..1,018,883(+)	Uncharacterized Secreted Protein	1	8	8	
cgd7_4510	cgd7_4510-RA	CM000435:1,018,951..1,024,424(-)	ABC transporter	1	1	1	
cgd7_4530	cgd7_4530-RA	CM000435:1,029,885..1,035,560(+)	Uncharacterized Protein	1	1	1	
cgd7_4540	cgd7_4540-RA	CM000435:1,036,236..1,037,342(+)	Uncharacterized protein	1	7	7	
cgd7_460	cgd7_460-RA	CM000435:111,937..116,026(+)	P-type cation-transporting ATPase	1	1	1	
cgd7_4680	cgd7_4680-RA	CM000435:1,062,186..1,063,352(-)	Uncharacterized protein	1	1	1	
cgd7_470	cgd7_470-RA	CM000435:116,451..117,437(-)	type 3 Malate dehydrogenase	1	2	2	
cgd7_4720	cgd7_4720-RA	CM000435:1,070,060..1,071,556(+)	Uncharacterized protein	1	2	2	
cgd7_4760	cgd7_4760-RA	CM000435:1,076,112..1,077,481(+)	Ribosomal protein S4	1	8	8	
cgd7_480	cgd7_480-RA	CM000435:117,651..118,833(-)	L-lactate/malate dehydrogenase	1	11	11	
cgd7_4810	cgd7_4810-RA	CM000435:1,084,667..1,086,805(-)	Fibronectin II collagen-binding/PA14 domain containing protein	1	18	18	
cgd7_4830	cgd7_4830-RA	CM000435:1,088,990..1,091,854(+)	Mechanosensitive ion channel MscS containing protein	1	1	1	
cgd7_5000	cgd7_5000-RA	CM000435:1,152,462..1,154,844(+)	Vacuolar ATP synthase subunit A	1	12	12	
cgd7_5060	cgd7_5060-RA	CM000435:1,172,235..1,173,396(+)	Ribosomal protein S20	1	2	2	
cgd7_5140	cgd7_5140-RA	CM000435:1,192,600..1,193,804(-)	Uncharacterized Protein	1	5	5	
cgd7_5180	cgd7_5180-RA	CM000435:1,197,653..1,199,005(-)	Eukaryotic translation initiation factor 3 subunit H [EIF3H].	1	2	2	
cgd7_5270	cgd7_5270-RA	CM000435:1,212,959..1,214,331(-)	 Eukaryotic translation initiation factor 2 alpha subunit/S1 RNA binding domain containing protein	1	3	3	
cgd7_5330	cgd7_5330-RA	CM000435:1,221,928..1,223,922(-)	Thioredoxin/PDI  transmembrane domain containing protein	1	1	1	
cgd7_5410	cgd7_5410-RA	CM000435:1,234,591..1,237,433(+)	WD40-repeat-containing protein	1	1	1	
cgd7_5520	cgd7_5520-RA	CM000435:1,272,574..1,275,429(-)	Hemogen	1	1	1	
cgd7_580	cgd7_580-RA	CM000435:135,278..138,445(-)	Uncharacterized protein	1	2	2	
cgd7_850	cgd7_850-RA	CM000435:195,905..199,864(+)	Patched family protein/Sterol-sensing domain-containing protein	1	3	3	
cgd7_910	cgd7_910-RA	CM000435:217,652..218,866(-)	 Phosphoglycerate kinase	1	9	9	
cgd7_950	cgd7_950-RA	CM000435:228,665..230,435(-)	SecY/Sec61 signal peptide plus 9 transmembrane domain-containing protein	1	4	4	
cgd8_1030	cgd8_1030-RA	CM000436:279,944..281,959(+)	Glycyl-tRNA synthetase	1	1	1	
cgd8_1180	cgd8_1180-RA	CM000436:313,840..316,468(-)	Coronin	1	5	5	
cgd8_1270	cgd8_1270-RA	CM000436:345,686..352,104(-)	Clathrin heavy chain	1	9	9	
cgd8_1670	cgd8_1670-RA	CM000436:456,708..458,657(-)	Vacuolar ATP synthase subunit B	1	4	4	
cgd8_1700	cgd8_1700-RA	CM000436:462,348..463,790(-)	 Iron-containing alcohol dehydrogenase	1	6	6	
cgd8_1760	cgd8_1760-RA	CM000436:477,182..480,904(+)	Ubiquitin-like domain containing protein	1	4	4	
cgd8_1770	cgd8_1770-RA	CM000436:482,080..485,451(+)	Uncharacterized Secreted Protein	1	1	1	
